Unnamed: 0,title,date,stock,predicted_label,predicted_score
963395.0,"Top Stocks In The Surety & Title Insurance Industry With The Highest Dividend Yield (ORI, FNF, FAF, STC) ",2010-04-13 05:00:00-04:00,ORI,Investment News,0.3217892050743103
102011.0,"Asterias Provides 6 Mo. Data Readout From Its AST-OPC1 Phase 1/2a Clinical Trial, Says Results Continue to Demonstrate Favorable Safety Profile, Potential for Durable Cell Engraftment at the Injury Site and Improved Motor Function",2018-07-17 07:05:00-04:00,AST,Company News,0.41981810331344604
952152.0,ONEOK Partners to Participate in Bakken Day,2010-08-04 16:22:00-04:00,OKS,Company News,0.4286842346191406
189463.0,Shares of Broadsoft to Resume Trade at 4:35PM EST,2013-11-04 16:12:00-05:00,BSFT,Investment News,0.3500936031341553
535387.0,"Courier Corp Holder Gamco Reports 6.97%, Up From 0.05% Pn 12/31/2014",2015-03-30 16:20:00-04:00,GBL,Company News,0.5158108472824097
315074.0,The Deal Says Citrix Is Not Exploring A Possible Sale,2019-04-04 09:37:00-04:00,CTXS,Company News,0.5046043992042542
831600.0,Marsh Subsidiary Marsh & McLennan To Acquire Benefits Advisory Group,2016-09-01 09:02:00-04:00,MMC,Company News,0.4901354908943176
1088375.0,UPDATE: Transocean and Chevron Moving off Lows After Announcing Well in Brazil Not Leaking,2011-11-15 15:15:00-05:00,RIG,Company News,0.3741041123867035
409733.0,eFuture Announces Appointment of Ms. Ping Yu As CFO,2014-10-13 08:32:00-04:00,EFUT,Company News,0.6219872832298279
226541.0,Cedar Shopping Centers Closes Purchase of New Jersey Center for $26.3M ,2010-10-13 14:31:00-04:00,CDR,Company News,0.4662453234195709
308071.0,"Jefferies: In Software, 'All Growth Is Not Created Equal'",2015-05-20 16:12:00-04:00,CSOD,Investment News,0.30403321981430054
435198.0,For The Bold: Bearish Energy ETF Ideas,2015-08-05 15:42:00-04:00,ERY,Investment News,0.4954710602760315
1007454.0,Top 4 NYSE Stocks In The Industrial Equipment & Components Industry With The Highest Dividend Yield ,2013-07-18 04:26:00-04:00,PH,Investment News,0.4608699679374695
657874.0,Independence Holding Co. Raises Semi-Annual Dividend From $0.06 to $0.10/Share,2017-12-20 16:18:00-05:00,IHC,Company News,0.3247486352920532
1244223.0,8 Biotechs With Coronavirus Vaccines In Development,2020-03-16 10:42:00-04:00,TNXP,Company News,0.27460306882858276
384743.0,Stocks Hitting 52-Week Lows,2013-05-08 10:03:00-04:00,DSCO,Investment News,0.3583568334579468
1315944.0,PiperJaffray Downgrades Valley National to Neutral,2016-08-08 06:54:00-04:00,VLY,Company News,0.32522687315940857
1027920.0,"Elliott Says Akzo CEO Buchmer, 'Clearly Not Listening To Shareholders' By Refusing To Meet PPG Proposal",2017-03-23 09:03:00-04:00,PPG,Company News,0.38359251618385315
307942.0,Cornerstone OnDemand Guides Q2 Revenues Of $137M-$140M Vs. $137.36M Estimate; Guides FY19 Revenues Of $562M-$570M Vs. $563.72M Estimate,2019-05-07 16:47:00-04:00,CSOD,Company News,0.3178146183490753
1026546.0,"Powell Industries Reports Q4 EPS $(0.42) vs $(0.19) Est., Sales $95M vs $94M Est.",2017-12-05 16:20:00-05:00,POWL,Company News,0.6252068281173706
1151251.0,Mind The Gap: 5 ETFs With Technical Gaps to Fill,2011-10-07 13:22:00-04:00,SLV,Investment News,0.31887489557266235
487783.0,"Amazon Is Taking Over The Market, One Sector At A Time",2016-09-28 13:02:00-04:00,FDX,Market Trends,0.543573260307312
672584.0,"Identive Group, Inc. Sees Q3 Sales $21.0M-23.0M, Reaffirms FY14 Outlook; Will Buyback Up to $5M",2014-10-10 09:00:00-04:00,INVE,Company News,0.5533939599990845
1023246.0,Benzinga's Top Upgrades,2016-04-29 08:58:00-04:00,PODD,Market Trends,0.35530194640159607
78543.0,33 Stocks Moving In Friday's Pre-Market Session,2018-05-04 08:03:00-04:00,ANET,Market Trends,0.36745819449424744
,2012-08-03 08:22:00-04:00,BWC,,Economic Indicators,0.1607593446969986
819744.0,"Benzinga's Top Upgrades, Downgrades For January 6, 2017",2017-01-06 09:31:00-05:00,MERC,Market Trends,0.32064083218574524
177066.0,Market Wrap For December 20: Markets Gain On GDP Data ,2013-12-20 16:44:00-05:00,BMY,Economic Indicators,0.8322023153305054
1234885.0,NBC7 San Diego Tweets '#BREAKING: Southwestern College evacuates students from one building http://on.nbc7.com/l75B2A3',2014-10-16 13:50:00-04:00,TKMR,Company News,0.6823504567146301
