Unnamed: 0,title,date,stock,manual_label,tfidf_label
963395.0,"Top Stocks In The Surety & Title Insurance Industry With The Highest Dividend Yield (ORI, FNF, FAF, STC) ",2010-04-13 05:00:00-04:00,ORI,Market Trends,Market Trends
102011.0,"Asterias Provides 6 Mo. Data Readout From Its AST-OPC1 Phase 1/2a Clinical Trial, Says Results Continue to Demonstrate Favorable Safety Profile, Potential for Durable Cell Engraftment at the Injury Site and Improved Motor Function",2018-07-17 07:05:00-04:00,AST,Uncategorized,Company News
952152.0,ONEOK Partners to Participate in Bakken Day,2010-08-04 16:22:00-04:00,OKS,Uncategorized,Global Events
189463.0,Shares of Broadsoft to Resume Trade at 4:35PM EST,2013-11-04 16:12:00-05:00,BSFT,Regulations & Policies,Regulations & Policies
535387.0,"Courier Corp Holder Gamco Reports 6.97%, Up From 0.05% Pn 12/31/2014",2015-03-30 16:20:00-04:00,GBL,Uncategorized,Economic Indicators
315074.0,The Deal Says Citrix Is Not Exploring A Possible Sale,2019-04-04 09:37:00-04:00,CTXS,Uncategorized,Market Trends
831600.0,Marsh Subsidiary Marsh & McLennan To Acquire Benefits Advisory Group,2016-09-01 09:02:00-04:00,MMC,Uncategorized,Global Events
1088375.0,UPDATE: Transocean and Chevron Moving off Lows After Announcing Well in Brazil Not Leaking,2011-11-15 15:15:00-05:00,RIG,Uncategorized,Market Trends
409733.0,eFuture Announces Appointment of Ms. Ping Yu As CFO,2014-10-13 08:32:00-04:00,EFUT,Uncategorized,Market Trends
226541.0,Cedar Shopping Centers Closes Purchase of New Jersey Center for $26.3M ,2010-10-13 14:31:00-04:00,CDR,Uncategorized,Market Trends
308071.0,"Jefferies: In Software, 'All Growth Is Not Created Equal'",2015-05-20 16:12:00-04:00,CSOD,,Market Trends
435198.0,For The Bold: Bearish Energy ETF Ideas,2015-08-05 15:42:00-04:00,ERY,,Market Trends
1007454.0,Top 4 NYSE Stocks In The Industrial Equipment & Components Industry With The Highest Dividend Yield ,2013-07-18 04:26:00-04:00,PH,,Market Trends
657874.0,Independence Holding Co. Raises Semi-Annual Dividend From $0.06 to $0.10/Share,2017-12-20 16:18:00-05:00,IHC,,Global Events
1244223.0,8 Biotechs With Coronavirus Vaccines In Development,2020-03-16 10:42:00-04:00,TNXP,,Market Trends
384743.0,Stocks Hitting 52-Week Lows,2013-05-08 10:03:00-04:00,DSCO,,Market Trends
1315944.0,PiperJaffray Downgrades Valley National to Neutral,2016-08-08 06:54:00-04:00,VLY,,Global Events
1027920.0,"Elliott Says Akzo CEO Buchmer, 'Clearly Not Listening To Shareholders' By Refusing To Meet PPG Proposal",2017-03-23 09:03:00-04:00,PPG,,Global Events
307942.0,Cornerstone OnDemand Guides Q2 Revenues Of $137M-$140M Vs. $137.36M Estimate; Guides FY19 Revenues Of $562M-$570M Vs. $563.72M Estimate,2019-05-07 16:47:00-04:00,CSOD,,Market Trends
1026546.0,"Powell Industries Reports Q4 EPS $(0.42) vs $(0.19) Est., Sales $95M vs $94M Est.",2017-12-05 16:20:00-05:00,POWL,,Industry Updates
1151251.0,Mind The Gap: 5 ETFs With Technical Gaps to Fill,2011-10-07 13:22:00-04:00,SLV,,Market Trends
487783.0,"Amazon Is Taking Over The Market, One Sector At A Time",2016-09-28 13:02:00-04:00,FDX,,Market Trends
672584.0,"Identive Group, Inc. Sees Q3 Sales $21.0M-23.0M, Reaffirms FY14 Outlook; Will Buyback Up to $5M",2014-10-10 09:00:00-04:00,INVE,,Global Events
1023246.0,Benzinga's Top Upgrades,2016-04-29 08:58:00-04:00,PODD,,Market Trends
78543.0,33 Stocks Moving In Friday's Pre-Market Session,2018-05-04 08:03:00-04:00,ANET,,Market Trends
,2012-08-03 08:22:00-04:00,BWC,,,Market Trends
819744.0,"Benzinga's Top Upgrades, Downgrades For January 6, 2017",2017-01-06 09:31:00-05:00,MERC,,Market Trends
177066.0,Market Wrap For December 20: Markets Gain On GDP Data ,2013-12-20 16:44:00-05:00,BMY,,Economic Indicators
1234885.0,NBC7 San Diego Tweets '#BREAKING: Southwestern College evacuates students from one building http://on.nbc7.com/l75B2A3',2014-10-16 13:50:00-04:00,TKMR,,Market Trends
1000908.0,"The Daily Biotech Pulse: Adverum Snags Fast Track Designation, Crispr To Offer Shares, Elanco Animal Health To Debut",2018-09-20 09:02:00-04:00,PFE,,Market Trends
824257.0,"UPDATE: MGT Says Company To Exclusively License D-Vasive Source Code and Tech Platform, Commercialization Plans Of Sentinel and E-Tagged Technology Still In Place As Previously Disclosed",2016-10-11 15:14:00-04:00,MGT,,Industry Updates
293809.0,Top 4 Stocks In The Diversified Computer Systems Industry With The Highest Cash,2011-08-11 04:10:00-04:00,CRAY,,Market Trends
406983.0,Exceed Company Announces $10M Share Repurchase Program ,2011-08-15 16:15:00-04:00,EDS,,Company News
497165.0,J.P. Morgan Discusses Fiserv After Analysts Day (FISV),2010-10-07 07:01:00-04:00,FISV,,Market Trends
1407398.0,Horsehead Expects Noncash Charges Related to Hedging Transactions; Adjustment of $0.23/Share,2011-07-11 09:33:00-04:00,ZINC,,Global Events
746582.0,How Did The Rail Group's Earnings Look?,2017-01-20 09:34:00-05:00,KSU,,Company News
1244822.0,Tofutti Brands Inc. Reports Q1 EPS of $0.02; Revenue of $3.90M,2014-05-13 11:14:00-04:00,TOF,,Economic Indicators
